,genre,artists
4767,kids,Mr. C
4768,spanish,Alejandro Sanz;Camila Cabello
4769,afrobeat,Menahan Street Band
4770,french,TEEMID
4771,techno,Zimmz
4772,jazz,Doris Day
4773,opera,Georges Bizet;Orquestra Simfònica de Barcelona i Nacional de Catalunya;Pablo González
4774,j-pop,Yuuri
4775,k-pop,All Ok
4776,sertanejo,Zé Henrique & Gabriel
4777,french,Jain
4778,j-rock,BUMP OF CHICKEN
4779,children,Raffi
4780,hardcore,Hot Water Music
4781,jazz,"Grover Washington, Jr."
4782,power-pop,glass beach
4783,tango,Orquesta Tipica Buenos Aires
4784,sad,Dro Kenji
4785,j-idol,PassCode
4786,anime,Yutaka Yamada
4787,forro,Desejo de Menina
4788,dancehall,Yxng Bane
4789,club,Actress
4790,cantopop,Sam Hui
4791,folk,Lord Huron
4792,latin,Selena
4793,k-pop,Jubin Nautiyal;Payal Dev
4794,french,Dinos
4795,afrobeat,Voilaaa;Pat Kalla
4796,sertanejo,Chrystian & Ralf
4797,salsa,Luis Enrique
4798,chicago-house,Frankie Knuckles;Director's Cut;Eric Kupper;Jamie Principle
4799,anime,STEREO DIVE FOUNDATION
4800,j-rock,Ayten Alpman
4801,folk,Vancouver Sleep Clinic
4802,folk,Hari & Sukhmani
4803,salsa,Los Master's
4804,salsa,Orquesta Inmensidad
4805,kids,Rock 'n' Rainbow
4806,gospel,Os Arrais
4807,anime,Evan Call
4808,salsa,Danny Daniel
4809,j-rock,Peyk
4810,salsa,Paolo Plaza
4811,singer-songwriter,Leonard Cohen
4812,chicago-house,Cajmere;Dajae
4813,j-pop,Gündoğarken
4814,j-rock,Birsen Tezer
4815,opera,Jean-Philippe Rameau;Víkingur Ólafsson
4816,salsa,Daiquiri
4817,salsa,Checo Acosta
4818,kids,Chicken Dance Mix DJ's
4819,folk,Simon & Garfunkel
4820,folk,Joy Oladokun
4821,j-rock,YUKI
4822,french,Triomphe
4823,kids,Lil' Ron Ron
4824,kids,Lani Love
4825,chicago-house,Cajmere
4826,j-pop,Ello
4827,world-music,Paul Baloche
4828,folk,Yoke Lore
4829,j-pop,B'z
4830,samba,Alcione
4831,tango,Ada Falcón
4832,latin,Luis Fonsi;Daddy Yankee;Justin Bieber
4833,afrobeat,Ernest Ranglin
4834,dancehall,Cestar;Stailok
4835,anime,Kupla
4836,dancehall,Capleton
4837,dancehall,Sizzla
4838,latin,Feid;J Balvin
4839,latin,Feid;Nacho
4840,tango,Francisco Canaro
4841,afrobeat,Cymande
4842,salsa,"Jose ""Papo"" Rivera"
4843,mpb,TIAGO IORC
4844,j-rock,Paté de Fuá
4845,j-pop,Madeleine Peyroux
4846,forro,Wesley Safadão
4847,latin,J Balvin;Bad Bunny;Mr Eazi
4848,french,Djadja & Dinaz
4849,latin,Thalia
4850,power-pop,Big Star
4851,k-pop,Yuvan Shankar Raja;Sadhana Sargam
4852,forro,Eric Land
4853,k-pop,Yuvan Shankar Raja;Haricharan;Tanvi Shah
4854,emo,916frosty
4855,house,HRVY
4856,piano,Bobby Timmons
4857,forro,Paulo Pires
4858,j-idol,ROTTENGRAFFTY
4859,tango,Nelly Omar
4860,j-idol,Hysteric Panic
4861,forro,Thiago Jhonathan (TJ)
4862,forro,Nivaldo Marques
4863,forro,Asas Livres
4864,cantopop,Shirley Kwan
4865,ambient,Jean-Michel Blais
4866,dance,Marshmello;Pritam
4867,chicago-house,Chez Damier;Ron Trent
4868,j-dance,Intence;Countree Hype
4869,forro,"Santanna ""O Cantador"""
4870,trance,Omiki
4871,anime,MegaR
4872,tango,Reijo Taipale
4873,soul,Bill Withers
4874,emo,surrenderdorothy
4875,show-tunes,Idina Menzel;Michael Bublé
4876,cantopop,George Lam
4877,trance,KiLLATK
4878,cantopop,Priscilla Chan
4879,children,Zouzounia
4880,reggaeton,Fuego
4881,j-idol,NEO JAPONISM
4882,show-tunes,Andrew Lloyd Webber;Carrie Hope Fletcher
4883,show-tunes,Andrew Lloyd Webber;The Andrew Lloyd Webber Orchestra;Simon Lee
4884,piano,Kris Bowers
4885,emo,iamjakehill;Josh A
4886,spanish,Lola Indigo;TINI;Belinda
4887,forro,Conde do Forró
4888,dancehall,Shenseea
4889,forro,Márcia Fellipe
4890,funk,Mc IG
4891,cantopop,Wilfred Lau
4892,cantopop,Sammi Cheng
4893,j-idol,Chisato Moritaka
4894,techno,Taeko Onuki
4895,k-pop,Yuvan Shankar Raja;Anthony Daasan
4896,j-dance,Shane O
4897,afrobeat,Mulatu Astatke
4898,forro,Rafinha o Big Love
4899,children,Love to Sing
4900,emo,Jack Kays
4901,dancehall,Escala Mercalli
4902,cantopop,Kary Ng
4903,sad,Zach Diamond
4904,chicago-house,Gershon Jackson;Reset Preset
4905,show-tunes,Phillipa Soo
4906,latin,Paulina Rubio
4907,emo,Yung Pinch
4908,k-pop,Vijay Antony;Sangeetha Rajeshwaran
4909,trance,Hilight Tribe
4910,forro,Dan Ventura
4911,french,Dr. Peacock;Billx
4912,french,DTF
4913,comedy,Keith Alberstadt
4914,dub,Krewella;Nucleya
4915,french,Lonely in the Rain
4916,dubstep,Ray Volpe
4917,minimal-techno,Boston 168
4918,grindcore,Ed Gein
4919,comedy,Hva Snakker Du Om?;Anders Matthesen;Bossy Bo
4920,dub,Sarantis
4921,grindcore,Japanische Kampfhörspiele
4922,french,Alex Keeper
4923,minimal-techno,Ron Flatter
4924,forro,Kara Veia
4925,dance,Burna Boy;Lily Allen
4926,acoustic,The Perishers
4927,drum-and-bass,Serum
4928,grindcore,Lack Of Interest
4929,forro,Malla 100 Alça
4930,drum-and-bass,Loadstar
4931,grindcore,Blood Duster
4932,dancehall,Rupee
4933,forro,Cavaleiros do Forró
4934,drum-and-bass,Turno
4935,deep-house,Chris Malinchak
4936,dub,Moore Kismet;Pauline Herr
4937,alt-rock,You Me At Six
4938,comedy,Eugene Mirman
4939,drum-and-bass,Dillinja
4940,drum-and-bass,Spor
4941,dubstep,Tritonal;Rosie Darling
4942,dance,Cardi B
4943,dubstep,Tritonal;Henry Dark
4944,drum-and-bass,Teddy Killerz
4945,turkish,Kenan Doğulu
4946,dancehall,Stefflon Don
4947,dancehall,Sean Paul;Sia
4948,dub,ILLENIUM;X Ambassadors
4949,dub,Midnight Tyrannosaurus
4950,dancehall,Mr Eazi
4951,dubstep,Culture Code;Karra
4952,dance,Calvin Harris;Rihanna
4953,turkish,Redd
4954,dub,ILLENIUM;Nevve
4955,garage,Old Mervs
4956,alt-rock,Molotov
4957,dub,SLANDER;Kiiara
4958,afrobeat,Lack Of Afro
4959,world-music,Chris Tomlin;Lauren Daigle
4960,forro,Trio Nordestino
4961,dub,SLANDER;RØRY;Dylan Matthew
4962,groove,Leidy Murilho
4963,dubstep,Crankdat
4964,french,Alonzo
4965,acoustic,Ciaran Lavery
4966,french,EDGE;Ratu$
4967,dub,Zeds Dead;Blanke
4968,french,Soolking;Boro Boro
4969,dub,Tritonal;Angel Taylor;Koven
4970,dub,ILLENIUM;Echos
4971,french,Mig
4972,dub,ILLENIUM;Sam Feldt;iann dior
4973,dubstep,Kai Wachi
4974,dub,ILLENIUM;Tom DeLonge;Angels & Airwaves
4975,dub,Whales;Shiah Maisel
4976,dub,Seven Lions;GG Magree
4977,dub,Seven Lions;ILLENIUM;Said The Sky;HALIENE
4978,dub,Seven Lions
4979,groove,Dj Vianu
4980,dub,HALIENE;Markus Schulz
4981,comedy,Baron Vaughn
4982,dub,SLANDER;Ashley Drake
4983,comedy,Froggy Fresh
4984,synth-pop,Zackey Force Funk
4985,comedy,Andi Smith
4986,garage,Kidnap
4987,deep-house,Alex Adair
4988,french,Else
4989,afrobeat,Breakestra
4990,acoustic,John Frusciante
4991,dub,ILLENIUM;Jon Bellion;Tiësto
4992,tango,Orquesta Juan D' Arienzo
4993,dub,Zeds Dead;Dragonette;DNMO
4994,dub,Feint
4995,turkish,Pera
4996,dub,GhostDragon;Daye
4997,dubstep,Ookay
4998,dance,The Chainsmokers;Phoebe Ryan
4999,dub,Seven Lions;Blastoyz;Fiora
5000,garage,TOWNS
5001,dance,Major Lazer;Justin Bieber;MØ
5002,dancehall,6t6;Big Smoak
5003,forro,Canindé
5004,minimal-techno,Mark Broom
5005,dub,Tritonal;Ross Lynch;R5
5006,dub,ILLENIUM;Valerie Broussard;NURKO
5007,grindcore,ACxDC
5008,dub,WRATHE
5009,dub,ILLENIUM;Dabin;Lights
5010,dub,ILLENIUM;Joni Fatora
5011,dub,Oliverse
5012,dub,Jason Ross;Dia Frampton
5013,forro,Soró Silva
5014,synth-pop,Halina Frackowiak
5015,dub,Virtual Riot;Pearl Andersson
5016,tango,Aníbal Troilo;Floreal Ruiz
5017,dub,Gregory Isaacs
5018,dub,Zeds Dead
5019,forro,Banda Calypso
5020,grindcore,Death Toll 80K
5021,dancehall,Medina
5022,comedy,Shane Mauss
5023,dub,Dion Timmer
5024,minimal-techno,Sam Paganini
5025,dub,Blanke;REAPER
5026,dub,ILLENIUM;Matt Maeson
5027,comedy,Ryan Stout
5028,edm,Avicii;Aloe Blacc
5029,comedy,Micky Flanagan
5030,dub,ILLENIUM;Thirty Seconds To Mars
5031,swedish,JJ;FORTELLA
5032,french,NSH
5033,groove,Damageplan
5034,world-music,Fondo de la lectura
5035,dancehall,DeeWunn;Marcy Chin
5036,tango,Ariel Ardit;Orquesta Tipica
5037,funk,James Brown & The Famous Flames
5038,tango,Los Solistas
5039,synth-pop,Little Jinder
5040,funk,LUDMILLA;Orochi
5041,world-music,Ondas Delta
5042,tango,Charlo
5043,guitar,Antonio Garcia Isaac
5044,dance,The Chainsmokers;Kelsea Ballerini
5045,guitar,Claudio Estrada
5046,tango,Alberto Castillo
5047,guitar,Jesse Cook
5048,deep-house,James Hype;HARLEE
5049,disco,Barry Manilow
5050,acoustic,Mone Kamishiraishi
5051,disco,Rose Royce
5052,detroit-techno,Claude Young
5053,dance,Martin Garrix;Macklemore;Fall Out Boy
5054,world-music,Hillsong Kids
5055,disco,Cameo
5056,funk,DJ Arana
5057,synth-pop,ICEHOUSE
5058,detroit-techno,Omar S;Nite Jewel
5059,funk,Sam & Dave
5060,funk,Donny Hathaway
5061,dancehall,Charly Black;Chris Martin
5062,disco,Axwell
5063,world-music,Aaron Shust
5064,afrobeat,Orquestra Voadora
5065,grunge,Shaman's Harvest
5066,grunge,Blue October
5067,disco,Tim Toupet;Lorenz Büffel
5068,grunge,Dx Aneurysm
5069,funk,Mc Tha
5070,grunge,Buckcherry
5071,world-music,Audrey Assad
5072,detroit-techno,Jeff Mills;Rafael Leafar
5073,dancehall,Yxng Bane;D-Block Europe
5074,acoustic,Howie Day
5075,detroit-techno,Stacey Pullen
5076,guitar,Antonio Garcia Isaac;Roberto Aguilar;Felipe Gutierrez
5077,disco,Le Youth
5078,disco,Randy Crawford
5079,j-dance,jahmiel
5080,disco,Frankie Valli
5081,disco,Irene Cara
5082,world-music,Musica para Acostarse
5083,world-music,Hillsong Worship;Mi-kaisha Rose
5084,funk,INXS
5085,guitar,Los Poetas De La Guitarra
5086,dance,The Chainsmokers;5 Seconds of Summer
5087,disco,Bob Sinclar
5088,club,Occams Laser
5089,alt-rock,Los Piojos
5090,happy,Gammer;Darren Styles
5091,happy,Styles & Breeze
5092,dance,Jack Ü;Skrillex;Diplo;Justin Bieber
5093,club,Andy Stott
5094,afrobeat,Lafayette Afro Rock Band
5095,disco,Bob Sinclar;FISHER;Steve Edwards
5096,funk,Mc Davi
5097,acoustic,Tyrone Wells
5098,funk,Jão
5099,happy,DJ Buzz Fuzz
5100,guitar,Brittni Paiva
5101,guitar,Sergio & Odair Assad
5102,dance,Flo Rida
5103,dance,Alesso;Sentinel
5104,guitar,Hapa
5105,detroit-techno,A Number Of Names
5106,disco,DeBarge
5107,disco,Baltimora
5108,dance,Flo Rida;Sage The Gemini;Lookas
5109,guitar,Manuelcha Prado
5110,disco,Sister Sledge
5111,world-music,Hillsong Worship;Jad Gillies
5112,acoustic,Tim Halperin
5113,spanish,Álvaro De Luna
5114,disco,Christopher Cross
5115,dance,Alesso;TINI
5116,dance,Anne-Marie;Niall Horan;Just Kiddin
5117,spanish,Nil Moliner
5118,tango,Miguel Montero
5119,tango,Roberto Goyeneche;Astor Piazzolla
5120,disco,Martin Solveig;Ina Wroldsen
5121,world-music,Rainy Lullaby
5122,guitar,Noriyasu Takeuchi
5123,grunge,10 Years
5124,disco,The Isley Brothers
5125,world-music,Hillsong Worship;Hillsong Young & Free
5126,dancehall,P-Square
5127,garage,? & The Mysterians
5128,french,J9ueve
5129,french,Columbine
5130,deep-house,Huxley;SHE KORO
5131,comedy,Erikka Innes
5132,disney,Samuel E. Wright
5133,disney,Sonic Wine
5134,disney,Doctora Juguetes;Felpita;Lambie;Hallie
5135,comedy,Christian Finnegan
5136,world-music,Housefires
5137,synth-pop,Goldfrapp
5138,spanish,Green Valley
5139,disney,Alan Menken;Chorus - The Hunchback Of Notre Dame
5140,french,RK
5141,french,Josman
5142,french,Izïa
5143,french,KIKESA
5144,disney,Emma Watson
5145,world-music,Brian Doerksen
5146,world-music,Urban Rescue
5147,disney,Poppie Swag
5148,funk,LUDMILLA;DJ Will22;Topo La Maskara;Mariah Angeliq;Mr. Vegas
5149,dance,Marshmello;Juice WRLD
5150,french,Spider ZED
5151,french,Ninho
5152,groove,Mpirgkel
5153,industrial,bloodsimple
5154,drum-and-bass,Sigma
5155,french,Luther
5156,french,Tiken Jah Fakoly
5157,drum-and-bass,Alix Perez
5158,drum-and-bass,The Qemists
5159,drum-and-bass,Dirtyphonics;Sullivan King
5160,minimal-techno,Kaiserdisco
5161,french,Julien Clerc
5162,afrobeat,Fela Kuti
5163,drum-and-bass,1991
5164,french,D.ACE
5165,drum-and-bass,Chase & Status
5166,acoustic,Roses & Frey
5167,comedy,Adam Ferrara
5168,disney,Kindy Corner
5169,deep-house,Claptone;Dizzy;Nora En Pure
5170,spanish,Dante
5171,minimal-techno,Worakls;Ben Böhmer;Eivør
5172,psych-rock,Melody's Echo Chamber
5173,acoustic,The Weepies;Deb Talan;Steve Tannen
5174,acoustic,Stephen Speaks
5175,party,Tim Toupet;DJ Padre
5176,dance,Martin Garrix;Dua Lipa
5177,disco,Brunner & Brunner
5178,party,Jörg Bausch
5179,party,Sabbotage
5180,comedy,Lil Dicky
5181,afrobeat,Ondatrópica
5182,garage,Vundabar
5183,party,Marco Kloss
5184,tango,Alberto Podestá;Rodolfo Lezica;Agustin Magaldi;Alberto Morán;Jorge Durán;Carlos Almada;Enrique Campos;Jorge Vidal;Mariano Leyes;Oscar Larroca;Armando Moreno;Alberto Marino
5185,party,Ole ohne Kohle
5186,grunge,Egypt Central
5187,synth-pop,Book Of Love
5188,disco,Sabbotage;Dj Biene
5189,acoustic,Jon Bryant
5190,dancehall,Charly Black;Luis Fonsi
5191,synth-pop,Corey Hart
5192,alt-rock,Empire of the Sun
5193,disco,Der Benniii
5194,disco,AA Apres-Ski!
5195,alt-rock,Jet
5196,disney,Thorbjørn Harr
5197,garage,Ultrasonicas
5198,disney,Cast - Frozen
5199,tango,Lidia Borda;Orquesta El Arranque
5200,disney,Analy
5201,grunge,Finger Eleven
5202,disney,Nathan Lane;Ernie Sabella;Jason Weaver;Joseph Williams
5203,tango,Aníbal Troilo Y Su Orquesta Típica
5204,synth-pop,Jeanne Added
5205,funk,Anitta;Maluma
5206,minimal-techno,Stephan Bodzin;Innellea
5207,dancehall,Charly Black;Daddy Yankee
5208,spanish,Fondo Flamenco
5209,funk,Anitta;Swae Lee
5210,acoustic,Thomas Daniel
5211,funk,Anitta;Saweetie
5212,disney,Jodi Benson;Disney
5213,grunge,Filter
5214,forro,Irmão Lázaro
5215,deep-house,Tale Of Us;Kiasmos
5216,dance,Tiësto;Becky Hill
5217,trip-hop,Flunk
5218,minimal-techno,Jan Blomqvist;Maybemahri
5219,electronic,Four Tet
5220,afrobeat,J Prince
5221,folk,Phillip Phillips
5222,study,Hi Hat Henry
5223,electronic,Asher
5224,electronic,Fabian Mazur;Snavs
5225,electronic,Multani
5226,j-dance,Kalado
5227,french,Kid Francescoli;Julia Minkin
5228,techno,Cosmic Boys
5229,trip-hop,Llorca
5230,guitar,Beyond The Guitar
5231,techno,The Dust Brothers
5232,death-metal,Signs of the Swarm
5233,study,Justnormal;frumhere
5234,indie-pop,bülow
5235,study,Synkop
5236,german,AnnenMayKantereit;Giant Rooks
5237,electronic,3LAU;Bright Lights
5238,german,Milky Chance
5239,electro,Anna of the North
5240,study,Sima Jones
5241,guitar,Will Moore
5242,country,Chris Janson;Eric Church
5243,swedish,Ricky Rich;A Boogie Wit da Hoodie
5244,swedish,Eldkvarn
5245,trip-hop,Death In Vegas
5246,death-metal,Gatecreeper
5247,gospel,Daniel & Samuel
5248,goth,The Chameleons
5249,dance,Charlie Puth;Jung Kook;BTS
5250,swedish,Uno Svenningsson
5251,country,Vince Gill;Jenny Gill
5252,techno,Mark 'Oh
5253,death-metal,Ensiferum
5254,folk,Achint
5255,folk,Lord Huron;Phoebe Bridgers
5256,trip-hop,Leftfield
5257,goth,Aden x Asme
5258,country,America
5259,electronic,San Holo
5260,electro,Prabh Deep;Seedhe Maut;Sez on the Beat
5261,goth,Hofmästarn;Roffe Ruff
5262,country,Loretta Lynn
5263,swedish,Joakim Berg
5264,trip-hop,Lovage;Nathaniel Merriweather
5265,swedish,Lotta Engberg
5266,deep-house,Ilkay Sencan;Dynoro
5267,deep-house,Gorgon City;Hayley May
5268,power-pop,Barreracudas
5269,psych-rock,The Turtles
5270,folk,Vasuda Sharma
5271,country,Kenny Rogers;Kim Carnes
5272,acoustic,Allman Brown
5273,j-dance,Bugle
5274,deep-house,Gorgon City;Laura Welsh
5275,dancehall,Franco Wildlife
5276,study,beosound
5277,happy,DJ Isaac;D-Block & S-te-Fan
5278,tango,Astor Piazzolla;Nora Lee García;Rene Izquierdo
5279,electronic,Bahramji;Maneesh de Moor
5280,deep-house,Ilkay Sencan
5281,country,Darius Rucker
5282,dance,The Chainsmokers;ILLENIUM;Lennon Stella
5283,techno,Agents Of Time
5284,folk,Kailash Kher;Meet Bros Anjjan
5285,death-metal,Hate
5286,folk,The Strumbellas
5287,electronic,Lucky Luke
5288,indie-pop,Halsey;SUGA;BTS
5289,grindcore,Desalmado
5290,techno,Deborah de Luca
5291,folk,Kailash Kher;Mounima
5292,trip-hop,Quantic;Nidia Gongora
5293,techno,ATB
5294,techno,Lilly Palmer
5295,german,CRO
5296,goth,The Pine Box Boys
5297,acoustic,Gail Blanco
5298,dance,David Guetta;Chris Willis;Fergie;LMFAO
5299,trip-hop,Supreme Beings of Leisure
5300,electro,Moby;Jim James
5301,trip-hop,GusGus
5302,techno,Giorgia Angiuli
5303,electronic,Sickflip;Ritviz;Seedhe Maut
5304,country,Maddie & Tae
5305,electronic,ZOH
5306,death-metal,Nailbomb
5307,gospel,Nathália Braga
5308,forro,Forró Ideal
5309,techno,La Bouche
5310,swedish,Ted Gärdestad
5311,country,Tomgang
5312,country,Salebarbes
5313,emo,POORSTACY
5314,trance,Robert Miles
5315,trip-hop,Bonobo;Bajka
5316,electronic,Agoria;David Carretta
5317,country,Little River Band
5318,german,Disarstar
5319,emo,Автостопом по фазе сна
5320,minimal-techno,Modeselektor
5321,swedish,Arvingarna
5322,country,Ashley Monroe
5323,country,Dr. Hook
5324,german,Cosmic Gate;Greenhaven DJs
5325,dancehall,Johnny Osbourne
5326,electronic,NTO;Paul Kalkbrenner
5327,trip-hop,Radio Citizen;Bajka
5328,death-metal,Claustrofobia
5329,german,Lena
5330,trip-hop,Koop
5331,emo,Alone At Last
5332,trance,Miroslav Vrlik
5333,trance,Liquid Soul;Zyce;Solar Kid
5334,trance,Synergetic Emotion
5335,emo,Drex Carter
5336,emo,salvia palth
5337,trance,Menumas
5338,j-dance,Jahvillani;Countree Hype
5339,emo,Brennan Savage
5340,trance,Gareth Emery
5341,german,Maite Kelly
5342,german,Hans Zimmer;James Newton Howard
5343,emo,Ouse;Powfu
5344,trance,Blind Channel
5345,minimal-techno,Booka Shade;Kaktus Einarsson;Ben Böhmer
5346,j-dance,Kyodi
5347,trance,Infected Mushroom
5348,country,Boz Scaggs
5349,emo,Cold Hart;Lil Peep
5350,minimal-techno,Gui Boratto
5351,guitar,Steve Pulvers
5352,german,Hans Zimmer;Orchestra
5353,dancehall,Chronic Law;ATTOMATIC RECORDS;HEMTON MUSIC
5354,death-metal,Bloodred Hourglass
5355,german,Alex M.O.R.P.H.
5356,gospel,Waguinho
5357,dance,Chris Brown
5358,trip-hop,Quantic;Flowering Inferno
5359,swedish,Tove Lo;SG Lewis
5360,gospel,Mattos Nascimento
5361,trip-hop,Bonobo;Joji
5362,trance,Sajanka;Barsha
5363,techno,Dennis Sheperd;York;Iris
5364,electronic,Róisín Murphy
5365,emo,Sickbrain
5366,german,Tube & Berger;Alegant
5367,swedish,Roxette
5368,death-metal,Skinless
5369,gospel,Stella Laura
5370,gospel,Mara Lima
5371,gospel,Sérgio Lopes
5372,emo,Four Year Strong
5373,metalcore,Sleeping With Sirens
5374,death-metal,Varials
5375,german,PA Sports;Kianush
5376,german,The Disco Boys;DAZZ
5377,death-metal,Equilibrium
5378,swedish,Kenneth & The Knutters
5379,trance,Dj T.H.;Mitraz
5380,electronic,Stereoclip
5381,electronic,deadmau5;Rob Swire
5382,j-dance,Chronic Law;ATTOMATIC RECORDS;DANSKY RECORDS
5383,death-metal,I Declare War
5384,hard-rock,Boston
5385,emo,Real Friends
5386,country,Jim Croce
5387,german,Slime
5388,german,York;Sin Plomo;Janet Taylor;JJ Flores
5389,swedish,Vargas & Lagola
5390,emo,Finde
5391,country,Tyler Childers
5392,party,Brings;Dennis aus Hürth
5393,death-metal,Sentenced
5394,afrobeat,Whitefield Brothers
5395,electronic,Nxtwave
5396,electronic,Catching Flies
5397,german,Nico Santos
5398,dance,The Chainsmokers;Daya
5399,deep-house,Cut Off
5400,minimal-techno,Jan Blomqvist;Ben Böhmer
5401,alt-rock,Andrés Calamaro;Juanes;Niño Josele
5402,edm,Zara Larsson;Sabrina Carpenter
5403,edm,Zaeden;Yashraj;AAKASH
5404,alt-rock,Andrés Calamaro;Carlos Vives
5405,garage,The Chisel
5406,forro,Brasas do Forró
5407,edm,R3HAB;A Touch Of Class
5408,deep-house,Paul Woolford;Diplo;Kareen Lomax
5409,edm,Dimitri Vegas & Like Mike;David Guetta;Dimitri Vegas;Kiiara
5410,edm,Mike Perry;shy martin
5411,deep-house,Buray
5412,edm,Nucleya;2jaym;Sublahshini
5413,edm,Mac DeMarco
5414,dancehall,Kapten Röd
5415,comedy,Jessi Campbell
5416,tango,Quadro Nuevo
5417,turkish,Evgeny Grinko
5418,edm,Armin van Buuren;Hardwell
5419,edm,Dimitri Vegas & Like Mike;David Guetta;Daddy Yankee;Afro Bros;Natti Natasha;Dimitri Vegas;Like Mike
5420,edm,Zara Larsson;MNEK
5421,edm,Zaeden;Polar
5422,grindcore,Cloud Rat
5423,spanish,Viva Suecia
5424,turkish,Arem Ozguc;Arman Aydin;Jordan Rys
5425,edm,TroyBoi;Diplo;Nina Sky
5426,groove,Tchami
5427,synth-pop,Climie Fisher
5428,afrobeat,Ali Farka Touré
5429,alt-rock,Ashes Remain
5430,alt-rock,Andrés Calamaro;Alejandro Sanz
5431,forro,Tayrone Cigano
5432,alt-rock,Andrés Calamaro;Sebastian Yatra;Leiva;Ivan Ferreiro
5433,deep-house,Jamie Jones;AMÉMÉ
5434,forro,Cavalo De Pau
5435,deep-house,Starley
5436,deep-house,Purple Disco Machine
5437,dancehall,Busy Signal;Linky First
5438,tango,Pedro Laurenz;Alberto Podestá
5439,synth-pop,Ladytron
5440,edm,Nucleya;Avneet Khurmi;Guri Gangsta
5441,alt-rock,Andrés Calamaro;Julio Iglesias
5442,edm,Dimitri Vegas & Like Mike;Dimitri Vegas;Wiz Khalifa
5443,alt-rock,Andrés Calamaro;Vicentico
5444,garage,Dead Moon
5445,edm,Nucleya;Gagan Mudgal
5446,deep-house,Ilkan Gunuc;Emrah Turken
5447,minimal-techno,Matador;ARTBAT
5448,alt-rock,The Afters
5449,edm,Topic;John Martin
5450,dance,Axwell /\ Ingrosso
5451,turkish,Norm Ender
5452,grindcore,Burnt By The Sun
5453,acoustic,Amber Leigh Irish
5454,dance,Imanbek;BYOR
5455,forro,Anderson & Vei da Pisadinha
5456,garage,Cosmic Psychos
5457,edm,Ellie Goulding;Speed Radio
5458,dancehall,Gyptian
5459,alt-rock,Pixies
5460,acoustic,Ichiko Aoba
5461,forro,Manim Vaqueiro
5462,forro,Solange Almeida
5463,opera,Jason Manford
5464,edm,Zaeden;Stunnah Beatz
5465,grindcore,General Surgery
5466,edm,MEMBA;EVAN GIIA;Nooran Sisters
5467,edm,Kygo;Dean Lewis
5468,turkish,Bağzıları
5469,deep-house,Refeci;Michel Fannoun
5470,edm,Jonas Blue;RAYE
5471,grindcore,Narcosis
5472,edm,Felix Jaehn;Mike Williams
5473,alt-rock,Fitz and The Tantrums;Dave Audé
5474,turkish,Zakkum
5475,edm,Gryffin;OneRepublic
5476,electro,NOTD;shy martin
5477,edm,Vicetone;Tony Igy
5478,turkish,Birkan Nasuhoğlu
5479,german,Kyau & Albert
5480,funk,Clean Bandit;Topic;Wes Nelson
5481,turkish,Şanışer;Sokrat St
5482,turkish,Bahadır Sağlam
5483,spanish,Carlos Sadness
5484,turkish,Can Gox
5485,funk,Clean Bandit;iann dior
5486,edm,Zaeden;somanshu
5487,dance,benny blanco;Halsey;Khalid
5488,edm,Nucleya;Avneet Khurmi
5489,synth-pop,Alaska Y Dinarama
5490,dance,Major Lazer;MØ;DJ Snake
5491,deep-house,Jamie Jones;The Martinez Brothers
5492,tango,Sexteto Cristal;Guillermo Rozenthuler
5493,power-pop,The Cowboys
5494,folk,Harrison Storm
5495,acoustic,Sonny Boy Williamson II
5496,dance,Shawn Mendes;Tainy
5497,study,Ensidya;Fractite
5498,country,Sam Hunt
5499,deep-house,Shift K3Y
5500,folk,Gregory Alan Isakov
5501,goth,ShitKid
5502,deep-house,Deep Chills;Tilsen
5503,turkish,Lvbel C5
5504,goth,Zombina & The Skeletones
5505,synth-pop,Soft Cell
5506,country,Carrie Underwood;John Legend
5507,electro,Alan Walker;Au/Ra;Tomine Harket
5508,electro,Sasha Alex Sloan
5509,electro,Alan Walker;Sabrina Carpenter;Farruko
5510,deep-house,Dombresky;Crusy
5511,country,Alan Jackson
5512,synth-pop,Talk Talk
5513,goth,Katatonia
5514,electro,Daft Punk;Pharrell Williams;Nile Rodgers
5515,alt-rock,Julieta Venegas
5516,country,Dolly Parton;Michael Bublé
5517,country,Parker McCollum
5518,power-pop,The Marked Men
5519,electro,FLETCHER
5520,folk,Bon Iver
5521,synth-pop,Cutting Crew
5522,electro,Alan Walker;salem ilese
5523,deep-house,Mark Knight;Armand Van Helden
5524,electro,Ashnikko
5525,deep-house,Black Coffee
5526,study,Odd Shapes
5527,acoustic,Pigeon Pit
5528,country,Josh Turner
5529,dance,Bruno Mars;PARTYNEXTDOOR
5530,turkish,Tepki
5531,study,fresh from the oven
5532,electro,Alan Walker;Noah Cyrus;Digital Farm Animals;Juliander
5533,deep-house,Joshwa;Lee Foss
5534,groove,Chris Lorenzo;COBRAH
5535,electro,benny blanco;6 Dogs
5536,electronic,Farasat Anees;Slick Trick;Toshi
5537,synth-pop,Mr. Mister
5538,electronic,Gaullin
5539,deep-house,M-22
5540,deep-house,Maceo Plex;Chromatics
5541,tango,Miguel Calo;Raul Iriarte
5542,guitar,Sungha Jung
5543,deep-house,Tale Of Us;Pete Tong;Jules Buckley
5544,edm,DJ Kantik
5545,folk,The Decemberists
5546,edm,Marshmello;Mae Muller;Trippie Redd
5547,goth,Ghoultown
